model,iteration,average_prob
Model1,20000,5.35966e-62
Model1,40000,5.39217e-62
Model1,60000,5.34839e-62
Model1,80000,5.23981e-62
Model1,100000,5.17104e-62
Model1,120000,5.20864e-62
Model1,140000,5.11544e-62
Model1,160000,5.07401e-62
Model1,180000,5.0241e-62
Model1,200000,5.05123e-62
Model1,220000,5.07673e-62
Model1,240000,5.08302e-62
Model1,260000,5.0713e-62
Model1,280000,5.0581e-62
Model1,300000,5.01872e-62
Model1,320000,5.01394e-62
Model1,340000,5.02392e-62
Model1,360000,5.01411e-62
Model1,380000,5.00079e-62
Model1,400000,5.00903e-62
Model1,420000,5.0118e-62
Model1,440000,5.00125e-62
Model1,460000,5.01921e-62
Model1,480000,5.03611e-62
Model1,500000,5.02919e-62
Model1,520000,5.03527e-62
Model1,540000,5.04188e-62
Model1,560000,5.02432e-62
Model1,580000,5.01946e-62
Model1,600000,5.01118e-62
Model1,620000,4.99925e-62
Model1,640000,4.99565e-62
Model1,660000,4.99681e-62
Model1,680000,5.0159e-62
Model1,700000,5.01084e-62
Model1,720000,5.00244e-62
Model1,740000,5.00651e-62
Model1,760000,5.00771e-62
Model1,780000,5.01164e-62
Model1,800000,5.01698e-62
Model1,820000,5.01485e-62
Model1,840000,5.00813e-62
Model1,860000,5.00559e-62
Model1,880000,4.99983e-62
Model1,900000,4.99875e-62
Model1,920000,5.00286e-62
Model1,940000,5.00333e-62
Model1,960000,5.00299e-62
Model1,980000,5.00331e-62
Model1,1000000,4.99382e-62
Model1,1020000,4.99706e-62
Model1,1040000,4.99982e-62
Model1,1060000,4.99632e-62
Model1,1080000,5.00095e-62
Model1,1100000,5.00398e-62
Model1,1120000,4.99149e-62
Model1,1140000,4.99607e-62
Model1,1160000,5.00117e-62
Model1,1180000,4.99497e-62
Model1,1200000,4.99257e-62
Model1,1220000,4.99462e-62
Model1,1240000,4.9913e-62
Model1,1260000,4.98751e-62
Model1,1280000,4.99041e-62
Model1,1300000,4.99573e-62
Model1,1320000,4.99275e-62
Model1,1340000,4.9972e-62
Model1,1360000,4.99879e-62
Model1,1380000,5.00118e-62
Model1,1400000,5.00321e-62
Model1,1420000,5.0054e-62
Model1,1440000,5.00454e-62
Model1,1460000,5.01267e-62
Model1,1480000,5.01314e-62
Model1,1500000,5.01382e-62
Model1,1520000,5.00543e-62
